Year,HDI_EU,HDI_US,LS_EU,LS_US,GDPpc_US,GDPpc_EU,Index_HDI,Index_LS,Index_GDPpc
1990,0.7770634285716351,0.875,,,46084.2752,34294.7,88.80724897961544,,74.41735787568598
1991,0.780762110994394,0.875,,,45369.7701,34187.4,89.22995554221646,,75.3528173597688
1992,0.7859142024289352,0.88,,,46336.7483,34079.0,89.30843209419717,,73.54637787563527
1993,0.7930627712217354,0.882,,,47037.0155,33748.6,89.9164139707183,,71.74902497799845
1994,0.8024910896945044,0.885,,,48392.0284,34478.8,90.67695928751462,,71.24892495723532
1995,0.8055453168310873,0.886,,,49127.3891,35154.7,90.91933598545003,,71.55825018187258
1996,0.8122240920719498,0.887,,,50414.6881,35694.4,91.56979617496616,,70.80158847595847
1997,0.8185693374903289,0.889,,,52011.4121,36531.5,92.07754077506512,,70.23747005707618
1998,0.8245420733142103,0.891,,,53688.0826,37470.3,92.54119790282942,,69.79258372695173
1999,0.8296976702345581,0.891,,,55567.5606,38361.9,93.11982830915355,,69.03650184708667
2000,0.8356869069423694,0.894,,,57147.1723,39632.9,93.47728265574601,,69.35233784086986
2001,0.8420034571155319,0.895,,,57089.8194,40273.0,94.07859856039462,,70.54322543539172
2002,0.8471611308666546,0.896,,,57375.2471,40521.0,94.5492333556534,,70.62453243883284
2003,0.8511876461958523,0.898,,,58299.5783,40786.9,94.78704300621963,,69.96088340488048
2004,0.8573295516267927,0.902,,,59872.4387,41607.8,95.04762213157348,,69.49407925152714
2005,0.8622950385316817,0.904,6.631681122010411,,61261.6094,42211.5,95.38661930660194,,68.90367460702069
2006,0.8679534987675371,0.908,,7.18179369,62223.3737,43399.6,95.58959237527942,,69.7480663926135
2007,0.8715977265678472,0.911,,7.512687683,62730.4591,44499.6,95.67483277363854,,70.93778786006048
2008,0.8751909332361879,0.912,,7.280385971,62117.0235,44545.3,95.96391811800305,,71.71190358147152
2009,0.8758150956567877,0.913,6.234389325869294,7.158032417,59857.5992,42407.5,95.92717367544225,87.09641089446458,70.84731189820256
2010,0.8802078178665523,0.916,6.352030203748898,7.16361618,60820.7004,43094.2,96.0925565356498,88.67072221824283,70.85449479631444
2011,0.8846798171718274,0.918,6.331349021943692,7.115138531,61280.9276,43694.9,96.37035045444743,88.98419889308676,71.3026086765697
2012,0.885605984760768,0.92,6.2642952651720645,7.026226997,61815.4862,43375.0,96.26152008269217,89.15589074828839,70.16850091522858
2013,0.8893959921394162,0.922,6.310940112115021,7.249285221,62611.2078,43314.0,96.46377355091282,87.0560326945511,69.1793075424429
2014,0.8925875497415765,0.923,6.340840354786207,7.151114464,63388.1461,43992.6,96.70504330894653,88.6692610880044,69.40193507252613
2015,0.893806661708995,0.924,6.363365802329467,6.863946915,64702.6509,44869.0,96.73232269577868,92.70709521985671,69.3464632065021
2016,0.8965911938248887,0.926,6.407420511250645,6.803599834,65066.0198,45620.4,96.8241030048476,94.17691615592224,70.1140167175248
2017,0.899747258159407,0.928,6.535017683994599,6.9917593,66248.1049,46827.7,96.95552350855678,93.46742934921399,70.68534272895101
2018,0.9029299713302682,0.93,6.63671695428673,6.882684708,67580.19,47678.8,97.0892442290611,96.42628183407308,70.55144414361665
2019,0.9070550340899218,0.933,6.625744468774081,6.943701267,68639.1469,48424.8,97.21918907716204,95.42093206490591,70.54982788546283
2020,0.9019624484469774,0.923,6.729561681388327,7.028088093,66578.7198,45261.1,97.72074197692062,95.7523809084151,67.9813311760314
2021,0.9054327352124066,0.921,6.601846509228979,6.959087849,70147.9699,48077.8,98.30974323696054,94.86654935930497,68.53769263535024
2022,0.9099508297579731,0.927,6.54324272876993,6.692790031,70999.1728,49592.3,98.16082305911252,97.7655461842163,69.849123650635
2023,,,,6.520872116,72128.1831,49561.5,,,68.71308532933224
2024,,,,,,,,,
