Percentile,Year,anninc_992_i_US National income Total population | average income or wealth | adults | individual | Euro € | ppp | constant (2023) USA,anninc_992_i_QY National income Total population | average income or wealth | adults | individual | Euro € | ppp | constant (2023) European Union,agdpro_992_i_US Gross domestic product Total population | average income or wealth | adults | individual | Euro € | ppp | constant (2023) USA,agdpro_992_i_QY Gross domestic product Total population | average income or wealth | adults | individual | Euro € | ppp | constant (2023) European Union,US=100
pall,1990,39510.347,29537.1,46084.2752,34294.7,74.41735787568598
pall,1991,38663.0879,29451.8,45369.7701,34187.4,75.3528173597688
pall,1992,39712.6197,29291.7,46336.7483,34079.0,73.54637787563527
pall,1993,40362.7531,28935.4,47037.0155,33748.6,71.74902497799845
pall,1994,41577.1912,29598.3,48392.0284,34478.8,71.24892495723532
pall,1995,42170.6402,30138.3,49127.3891,35154.7,71.55825018187258
pall,1996,43360.8804,30636.2,50414.6881,35694.4,70.80158847595847
pall,1997,44704.396,31434.6,52011.4121,36531.5,70.23747005707618
pall,1998,46129.9302,32297.3,53688.0826,37470.3,69.79258372695173
pall,1999,47738.419,33069.9,55567.5606,38361.9,69.03650184708667
pall,2000,49008.6725,34093.4,57147.1723,39632.9,69.35233784086986
pall,2001,48740.6913,34615.3,57089.8194,40273.0,70.54322543539172
pall,2002,48939.7554,34777.9,57375.2471,40521.0,70.62453243883284
pall,2003,49818.3648,34974.9,58299.5783,40786.9,69.96088340488048
pall,2004,51261.5461,35639.7,59872.4387,41607.8,69.49407925152714
pall,2005,52358.0029,36244.1,61261.6094,42211.5,68.90367460702069
pall,2006,52920.9706,37317.9,62223.3737,43399.6,69.7480663926135
pall,2007,53536.211,38136.4,62730.4591,44499.6,70.93778786006048
pall,2008,52905.3958,37928.1,62117.0235,44545.3,71.71190358147152
pall,2009,50469.1667,35894.7,59857.5992,42407.5,70.84731189820256
pall,2010,51740.824,36708.3,60820.7004,43094.2,70.85449479631444
pall,2011,52284.4067,37239.4,61280.9276,43694.9,71.3026086765697
pall,2012,52709.7407,36797.8,61815.4862,43375.0,70.16850091522858
pall,2013,53349.3127,36786.8,62611.2078,43314.0,69.1793075424429
pall,2014,53879.9275,37188.5,63388.1461,43992.6,69.40193507252613
pall,2015,54981.8656,37827.6,64702.6509,44869.0,69.3464632065021
pall,2016,55315.1543,38522.7,65066.0198,45620.4,70.1140167175248
pall,2017,56494.0309,39574.7,66248.1049,46827.7,70.68534272895101
pall,2018,57576.4503,40371.3,67580.19,47678.8,70.55144414361665
pall,2019,58310.8083,40934.7,68639.1469,48424.8,70.54982788546283
pall,2020,55730.729,37680.6,66578.7198,45261.1,67.9813311760314
pall,2021,58809.4044,40583.2,70147.9699,48077.8,68.53769263535024
pall,2022,59574.511,41891.4,70999.1728,49592.3,69.849123650635
pall,2023,60476.7166,41838.7,72128.1831,49561.5,68.71308532933224
